,Temperatura Material
0.000189065933228,39.75
0.500914096832,40.0
1.00166201591,40.0
1.50239610672,40.0
2.00312304497,39.75
2.50388503075,39.75
3.00465703011,39.75
3.50544404984,39.75
4.0062251091,39.5
4.50700306892,40.0
5.00778508186,39.75
5.50856804848,39.5
6.00935006142,39.75
6.51013112068,40.0
7.01091217995,40.25
7.51173019409,40.0
8.01255607605,40.0
8.51334404945,40.25
9.01412200928,39.75
9.5148999691,39.75
10.015681982,40.0
10.5164570808,40.5
11.0172321796,40.5
11.5179741383,40.0
12.0187029839,40.5
12.5194351673,40.25
13.0201730728,40.25
13.5209021568,40.25
14.0216591358,40.25
14.5223920345,40.25
15.0231151581,40.25
15.5238280296,40.25
16.0245821476,40.25
16.5253691673,40.5
17.0261511803,40.5
17.5269382,40.5
18.0277211666,40.0
18.5285019875,40.25
19.0292861462,40.75
19.5300672054,40.25
20.0308480263,40.25
20.5316431522,40.75
21.0324261189,40.5
21.5332090855,40.5
22.0339870453,40.5
22.5347721577,40.25
23.0355551243,40.75
23.5363371372,40.75
24.0371320248,40.75
24.5378761292,40.5
25.0386450291,40.5
25.5393731594,41.25
26.0401000977,40.25
26.5408411026,40.25
27.0415840149,40.75
27.542304039,41.0
28.0431241989,40.75
28.5438489914,40.25
29.0445621014,40.5
29.545320034,40.5
30.046102047,40.75
30.5468790531,40.25
31.0476560593,40.75
31.5484421253,41.0
32.0492231846,40.75
32.5499780178,40.75
33.0507640839,41.0
33.55154109,40.25
34.0523421764,41.0
34.5531270504,40.75
35.053907156,40.75
35.5546841621,41.0
36.0554680824,41.0
36.5562829971,41.0
37.0570640564,40.75
37.557819128,41.5
38.0585920811,41.25
38.5593500137,40.5
39.0601260662,41.0
39.5608711243,41.0
40.0616300106,41.0
40.5623600483,41.0
41.0630910397,40.75
41.5638279915,41.0
42.064563036,40.75
42.5654251575,40.75
43.0661890507,40.75
43.5669691563,41.25
44.0677540302,41.0
44.5685510635,41.0
45.0693340302,41.0
45.5701191425,40.75
46.0708901882,40.5
46.5716900826,41.25
47.0724790096,40.75
47.5732681751,41.25
48.0740849972,41.25
48.5748682022,40.75
49.0756480694,40.75
49.5764381886,41.0
50.0773870945,40.75
50.5781691074,41.25
51.0789330006,41.25
51.5797171593,41.0
52.0804719925,41.0
52.5812330246,41.25
53.0819740295,40.75
53.5825221539,41.0
54.083261013,41.25
54.583990097,41.25
55.0848779678,41.25
55.5856142044,41.25
56.0864989758,41.0
56.5872631073,41.0
57.0880429745,41.25
57.5888280869,41.25
58.0896151066,41.25
58.5903949738,41.5
59.0913419724,41.25
59.5921311378,41.25
60.0929419994,40.75
60.5937299728,40.75
61.0945270061,41.5
61.5953412056,41.5
62.0962951183,40.75
62.5970790386,41.0
63.0978581905,41.75
63.5986301899,41.25
64.0994310379,41.25
64.6002001762,41.25
65.1009850502,41.0
65.6017351151,41.25
66.1024680138,41.25
66.6031990051,41.25
67.1040821075,41.25
67.604817152,41.25
68.1057291031,41.0
68.6064691544,41.0
69.1073482037,41.5
69.608079195,41.0
70.1089541912,41.0
70.6097149849,41.0
71.1106619835,41.0
71.6114561558,41.25
72.1124181747,41.25
72.6132102013,41.5
73.1141610146,41.0
73.6149420738,41.5
74.1157820225,41.25
74.6165671349,41.0
75.1175100803,41.0
75.6183030605,41.25
76.1192331314,41.25
76.6200230122,41.25
77.1209211349,41.25
77.6217210293,41.25
78.122615099,41.25
78.6233711243,40.75
79.1242661476,41.25
79.6250071526,41.25
80.1258950233,41.0
80.6266431808,41.5
81.1275410652,41.0
81.6282851696,41.0
82.1291680336,41.25
82.629912138,41.5
83.1307880878,40.75
83.6315140724,41.5
84.1324000359,41.25
84.6331691742,41.25
85.1341180801,41.25
85.634909153,41.0
86.1358439922,41.25
86.6366431713,41.25
87.137606144,41.0
87.6383991241,41.0
88.1393511295,41.5
88.6401371956,41.0
89.1410841942,41.0
89.6418700218,41.25
90.1427931786,41.25
90.6435701847,41.5
91.1444780827,41.0
91.645236969,41.0
92.1462020874,41.5
92.64696908,41.5
93.147698164,41.5
93.6484730244,41.25
94.149367094,41.0
94.6501290798,41.25
95.1510100365,41.5
95.6517560482,40.75
96.1526300907,41.5
96.6533591747,41.25
97.1542160511,41.5
97.6549401283,41.0
98.1558580399,41.0
98.6566309929,41.5
99.1575911045,41.0
99.6583790779,41.0
100.159174204,41.5
100.659955025,41.25
101.16091013,41.25
101.661715031,41.5
102.162513018,40.75
102.663294077,41.5
103.164232016,41.0
103.665018082,41.5
104.165804148,41.0
104.666611195,41.25
105.167517185,41.25
105.668266058,41.5
106.169200182,41.0
106.669946194,41.25
107.170715094,41.25
107.671444178,41.0
108.172319174,41.25
108.673048973,41.25
109.173925161,41.25
109.674664021,41.0
110.175556183,41.5
110.676287174,41.0
111.177167177,41.25
111.677889109,40.25
112.178822994,40.25
112.679620981,40.75
113.180602074,41.25
113.681393147,40.75
114.182174206,40.75
114.682954073,40.75
115.183897972,40.75
115.684684038,41.25
116.185476065,40.5
116.686263084,41.0
117.187174082,40.5
117.687962055,41.0
118.188866138,41.25
118.689648151,40.75
119.190401077,40.75
119.691125154,41.0
120.192013025,41.0
120.692761183,41.0
121.193518162,41.25
121.69425416,41.25
122.19513917,41.25
122.695888042,41.0
123.196777105,41.25
123.697550058,41.25
124.198436975,41.0
124.699207067,41.25
125.200082064,41.25
125.701042175,41.25
126.201830149,41.25
126.702818155,40.75
